Company,Group,Change
HB Stockholding,B,+  20.00
Oriental Carbon,B,+  20.00
Somany Ceramics Ltd.,B,+  20.00
Hybrid Financial Ser,B,+  19.99
GOCL Corporation,B,+  19.99
Indef Manufacturing,B,+  19.99
Creative Eye,B,+  19.93
Motisons Jewellers,B,+  16.31
Orient Bell,B,+  15.03
OCCL Ltd.,B,+  14.87
AVG Logistics,B,+  13.64
TVS Electronics,B,+  12.07
Maithan Alloys Ltd.,B,+  11.66
Balu Forge Industrie,B,+  11.54
Digicontent,B,+  10.50
Selan Exploratio,B,+  10.15
Nila Spaces L,B,+   9.97
Meera Industries,B,+   9.94
Roto Pumps Ltd,B,+   9.94
Infomedia Press,B,+   9.93
Regency Ceramics,B,+   9.87
Malu Paper Mills,B,+   9.80
GACM Technologies,B,+   9.80
BEML Land Assets,B,+   9.80
Onward Technolog,B,+   9.77
Williamson Magor,B,+   9.48
D-Link (India),B,+   9.28
R Systems Internat.,B,+   8.98
Hercules Hoists,B,+   8.78
N R Agarwal Indu,B,+   8.61
Krebs Biochemicals &,B,+   8.52
SPML Infra,B,+   8.43
Kokuyo Camlin,B,+   8.40
Quadrant Future Tek,B,+   8.24
Baid Finserv,B,+   8.11
Coastal Corporation,B,+   7.89
Themis Medicare Ltd.,B,+   7.75
Pil Italica Lifestyl,B,+   7.72
Urja Global,B,+   7.69
Arman Financial Serv,B,+   7.68
Skipper Ltd.,B,+   7.66
Superhouse,B,+   7.24
JTL Industries,B,+   7.14
HLV L,B,+   7.08
Shakti Pumps (In,B,+   7.07
ADF Foods Ltd.,B,+   7.07
SJS Enterprises,B,+   7.06
Sai Silks (Kalamandi,B,+   6.96
Windsor Machines,B,+   6.95
SMC Global Secur,B,+   6.87
Fedbank Financial,B,+   6.86
Indoco Remedies,B,+   6.74
Vishnu Chemicals,B,+   6.66
Shankara Building Pr,B,+   6.62
Landmark Property De,B,+   6.54
Guj. Themis Bios,B,+   6.48
Manaksia Aluminium,B,+   6.46
Almondz Global Secur,B,+   6.35
Jana Small Finance B,B,+   6.29
Shiva Mills,B,+   6.16
RSWM Ltd.,B,+   6.14
Sprayking L,B,+   6.11
Zaggle Prepaid Ocean,B,+   6.11
Utkarsh Small Financ,B,+   6.07
Bannari Amman Spinni,B,+   6.07
Denta Water and Infr,B,+   6.02
Geojit Financial,B,+   5.89
Ashiana Housing,B,+   5.88
Century Extru.,B,+   5.84
Murudeshwar Cer.,B,+   5.80
Asian Star Co,B,+   5.72
ESAF Small Finance,B,+   5.67
GRM Overseas,B,+   5.66
Mindteck (India),B,+   5.61
TGB Banquets,B,+   5.59
Expleo Solutions,B,+   5.47
Guj. Industries,B,+   5.46
Somi Conveyor Beltin,B,+   5.45
Belrise Industries,B,+   5.34
Maral Overseas,B,+   5.17
Prozone Realty,B,+   5.17
Cubex Tubings Lt,B,+   5.17
Sukhjit Starch &,B,+   5.07
Intl. Coveyors,B,+   5.06
Cinevista L,B,+   5.05
Lambodhara Texti,B,+   5.02
Mukand Ltd.,B,+   5.02
Shyam Telecom,B,+   5.02
Lotus Chocolate,B,+   5.00
Cosmo First,B,+   5.00
Kernex Microsystems,B,+   5.00
Bharat Global Develo,B,+   4.99
Delta Manufacturing,B,+   4.99
Jayshree Tea,B,+   4.98
SKM Egg Produc,B,+   4.96
DiGiSPICE Technologi,B,+   4.96
Tainwala Chem.,B,+   4.95
Indo Borax,B,+   4.93
Styrenix Performance,B,+   4.92
Murae Organisor,B,+   4.91
Muthoot Microfin,B,+   4.91
Manba Finance,B,+   4.86
Mangalore Chem.,B,+   4.85
JNK India,B,+   4.81
Spicejet Ltd.,B,+   4.80
Prudential Sugar,B,+   4.79
Navkar Urbanstructur,B,+   4.78
Barbeque-Nation Hosp,B,+   4.74
Standard Glass Linin,B,+   4.72
Greenlam Industries,B,+   4.69
Carysil L,B,+   4.67
MBL Infrastructure L,B,+   4.62
Energy Developme,B,+   4.61
Tatva Chintan Pharm,B,+   4.60
Zinka Logistics Solu,B,+   4.55
MosChip Technologies,B,+   4.54
J G Chemicals,B,+   4.53
Saraswati Saree Depo,B,+   4.52
Bigbloc Construction,B,+   4.51
Nahar Capital & Fina,B,+   4.51
ZF Steering Gear,B,+   4.47
Likhitha Infrastruct,B,+   4.39
Kirloskar Elect,B,+   4.38
Ecos (India) Mobilit,B,+   4.38
Samor Reality,B,+   4.37
Sagility India,B,+   4.37
Aditya Vision,B,+   4.36
Smartlink Holdings,B,+   4.36
SRM Contractors,B,+   4.35
